contact,month,day_of_week
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,mon
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
cellular,mar,tue
